gender_equality,environment,pdgg,trade,bio_diversity,climate_mitigation,climate_adaptation,desertification,rmnch,drr,disability,nutrition,reporting_org_ref
True,True,False,False,True,True,True,True,False,False,False,False,AU-5
True,True,True,True,True,True,True,True,True,True,True,True,XI-IATI-EC_FPI
False,False,False,False,False,False,False,False,False,False,False,False,XI-IATI-WBTF
True,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41114
False,False,False,False,False,False,False,False,False,False,False,False,47135
False,False,False,False,False,False,False,False,False,False,False,False,GB-CHC-1099776
False,False,False,False,False,False,False,False,False,False,False,False,47134
True,False,True,False,False,False,False,False,False,False,True,False,GB-CHC-209131
False,False,False,False,False,False,False,False,False,False,False,False,41AAA
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-6
False,False,False,False,False,False,False,False,False,False,False,False,GB-COH-00986729
True,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41122
False,False,False,False,False,False,False,False,False,False,False,False,NP-DAO-DANG-18-046/47
False,False,True,False,False,False,True,False,True,True,False,True,GB-CHC-1047501
True,False,False,False,False,False,True,False,True,True,False,True,DAC-1601
False,False,False,False,False,False,False,False,False,False,False,False,44000
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-903
False,False,False,False,False,False,False,False,False,False,False,False,JO-CCD-45293
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41149
False,False,False,False,False,False,False,False,False,False,False,False,XM-OCHA-CBPF
True,False,False,False,True,True,True,True,False,True,True,True,GB-GOV-26
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-9
True,False,False,False,False,False,False,False,False,True,False,False,XM-DAC-61-2
False,False,False,False,False,False,False,False,False,False,False,False,XM-DAC-41119
False,False,False,False,False,False,False,False,False,False,False,False,DK-CVR-14766383
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-15
True,False,False,False,False,False,True,False,False,False,False,False,NL-KVK-34159275
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-1
False,False,False,False,False,False,False,False,False,False,False,False,ET-CSA-0486
True,False,False,False,False,False,False,False,True,False,False,False,XI-IATI-21032
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-19
True,True,True,True,True,True,True,True,True,True,True,False,DE-1
False,False,False,False,False,False,False,False,False,False,False,False,US-GOV-11
